Class,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40
Sound_Guitar,-388.428894,205.197342,7.8636117,39.2866669,13.8562984,-0.254767984,-10.4785395,-3.95477915,-4.72812748,-9.22212887,-3.27247,4.76163578,-1.36694229,-9.52626991,-12.5170755,-6.77821541,-7.09602785,-8.44930172,-4.89150333,6.57909918,-1.3739295,3.42159295,-4.94433975,-26.6052074,-13.4544935,-14.8785295,-11.0950632,13.2931442,-0.658823252,-8.56064606,-8.43388844,-16.1755238,1.59957206,11.9361248,4.35158157,-7.55195808,-22.2148647,-22.756628,-3.64499998,8.37249374
Sound_Guitar,-359.54538,171.62688,10.192534,37.611431,18.924229,7.3422356,-0.37729278,4.0575967,0.36289999,-7.47578,-11.770124,-2.0221417,-10.137256,-24.945511,-20.564919,-4.1170893,-0.13577656,9.580678,14.376251,1.863012,-6.6549873,-20.106064,-34.157085,-17.161669,-2.005826,-6.5598874,-5.2026591,-8.0339823,-14.350591,-5.5193706,8.9901075,12.491045,8.4323435,-15.826511,-33.135807,-21.442444,-2.5517137,11.72559,10.558285,-7.4971094
Sound_Guitar,-347.31915,178.11375,2.1611729,38.960228,14.844493,4.2788982,-5.161553,-1.4225159,-8.399041,-3.9292388,-1.7883482,-4.1202555,-12.260773,-18.418507,-22.186058,1.8653846,7.0027933,1.1915175,-2.7561471,-17.567606,-19.749153,-16.068405,-20.881556,-3.0692286,3.115969,-11.9227,-4.2396364,-1.4398218,-9.624312,9.474861,9.275213,-16.751749,-26.957222,-26.907324,-8.638338,19.134165,22.931374,-7.644199,-20.417858,-8.538186
Sound_Guitar,-389.92075,177.8204,10.302906,42.16702,14.800138,3.5905793,-4.9698205,-7.9993877,-6.1217766,-4.623078,-18.616598,-13.828239,-13.416572,-17.492945,-11.471468,3.7355578,-3.6253417,-9.2794075,-8.435761,-22.621721,-28.684605,-14.036007,-2.930763,-2.9076695,1.159108,-3.9839818,-10.328786,1.5765136,6.7551556,-2.278395,-25.523567,-32.380344,-8.330529,10.2360115,19.660471,3.0356724,-20.132713,-17.230757,-1.6442653,-5.1721897
Sound_Guitar,-372.23615,161.71027,10.579021,45.089119,18.36186,4.5431576,-11.54869,-0.24096099,-4.246892,-13.245241,-8.9944773,-12.1422,-19.31856,-8.8173618,-1.9677382,-0.5434314,-3.9194779,-7.1351218,-28.773132,-33.433342,-17.872381,-2.8560634,3.7391737,8.7091742,4.3408771,-12.905182,0.8427909,11.234209,-17.159098,-34.355598,-19.525375,6.2702136,18.269333,9.1624918,-2.3781004,-21.231279,-23.205505,-6.5794215,-1.8383614,-22.260899
Sound_Guitar,-391.01813,173.12811,18.012999,37.280418,13.340932,5.180069,-4.8442798,-2.2381489,-11.675988,-11.337251,-6.5928936,-6.4312444,-18.988169,-11.184382,-0.9250828,-11.337148,-21.590891,-21.519089,-24.765806,-19.535879,-16.910175,-2.9720311,-0.70673698,-5.9291925,0.7236675,-0.16298451,-0.017772101,-12.901351,-35.28307,-14.340725,21.163565,20.802073,-2.5697839,-28.514889,-29.423941,-14.618135,-7.5088716,-7.0867047,-14.797564,-24.779274
Sound_Guitar,-386.7482,162.40793,15.373853,42.025448,23.156883,4.8697624,-5.5048928,-6.7417912,-15.872326,-13.088702,-14.181922,-12.666682,-9.9606609,-9.7257013,-15.344305,-18.547544,-24.363777,-29.199228,-19.313171,-19.488583,-13.5695,12.830432,0.21717568,-6.9398189,5.4833598,-6.5198059,-21.680008,-29.458479,-6.9430175,21.368322,12.20472,-20.153059,-37.719307,-27.083885,-5.8108621,1.1081777,-9.0267458,-15.699366,-3.3987544,18.31876
Sound_Guitar,-408.49643,160.14922,20.34738,41.80766,18.856285,-1.8351295,-5.1489124,-1.9737897,-18.085306,-23.981722,-21.556517,-9.492324,-8.725077,-16.246464,-18.626017,-20.275087,-21.65756,-20.03492,-16.588717,-11.492454,-3.0820453,4.880626,-7.08302,-10.038064,-3.75616,-14.447208,-14.298987,3.1002316,19.799826,6.7824855,-37.911274,-48.97099,-19.738815,0.54792905,2.098346,-4.5561748,-7.2222085,7.9215655,18.289856,-8.978065
Sound_Guitar,-398.09885,147.52005,24.257866,43.789394,3.3250074,0.67839074,0.1235197,-4.7601347,-18.37178,-26.629723,-22.029707,-5.6180062,-7.9052005,-12.856945,-19.056725,-28.562386,-30.378225,-27.284376,-18.761604,6.8813229,0.36282563,-13.971156,-13.00849,-1.9877652,5.2583766,-12.622634,-4.2621865,15.894566,-10.012884,-43.440559,-46.388741,-21.573189,10.401426,3.6739643,-7.7890706,4.3662572,8.9917679,-1.6064554,-13.593784,-3.4433126
Sound_Guitar,-411.7316,151.52992,22.383928,37.782024,2.7311718,6.1001291,-8.457674,-22.705265,-23.828176,-23.896126,-15.764684,-2.6732666,-13.140961,-19.136948,-31.583252,-34.1278,-29.007723,-11.190297,-0.11834588,0.34966958,-15.561807,-9.8773518,9.1043177,-3.1167667,-3.7034576,-4.9224615,4.8315125,-5.7550483,-48.316872,-48.198566,-2.3570602,23.098814,6.5110435,-3.0094042,4.4905267,4.5664463,-9.0955429,-13.085722,11.607796,30.67971
